Temperature,Humidity,CO2,HumidityRatio,Occupancy
23.18,27.272,721.25,0.004792988,1
23.15,27.2675,714,0.004783441,1
23.15,27.245,713.5,0.004779464,1
23.15,27.2,708.25,0.004771509,1
23.1,27.2,704.5,0.004756993,1
23.1,27.2,701,0.004756993,1
23.1,27.2,701.6666667,0.004756993,1
23.1,27.2,699,0.004756993,1
23.1,27.2,689.3333333,0.004756993,1
23.075,27.175,688,0.004745351,1
23.075,27.15,690.25,0.004740952,1
23.1,27.1,691,0.004739371,1
23.1,27.16666667,683.5,0.004751119,1
23.05,27.15,687.5,0.004733732,1
23,27.125,686,0.004714942,1
23,27.125,680.5,0.004714942,1
23,27.2,681.5,0.004728078,0
22.945,27.29,685,0.004727951,0
22.945,27.39,685,0.004745408,0
22.89,27.39,689,0.004729506,0
22.89,27.39,689.5,0.004729506,0
22.89,27.39,689,0.004729506,0
22.89,27.445,691,0.004739076,0
22.89,27.5,688,0.004748645,0
22.89,27.5,689.5,0.004748645,0
22.79,27.445,689,0.004710224,0
22.79,27.5,685.6666667,0.004719735,0
22.79,27.5,687,0.004719735,0
22.79,27.5,688,0.004719735,0
22.745,27.5,670,0.004706776,0
22.7,27.46333333,668.6666667,0.004687543,0
22.7,27.5,670,0.004693849,0
22.7,27.5,667,0.004693849,0
22.66666667,27.42666667,664.5,0.004671708,0
22.7,27.6,670,0.004711047,0
22.6,27.42666667,670.3333333,0.004652699,0
22.6,27.39,672,0.004646433,0
22.6,27.35666667,658,0.004640736,0
22.6,27.445,660.5,0.004655833,0
22.6,27.42666667,658,0.004652699,0
22.6,27.445,655,0.004655833,0
22.6,27.445,654.25,0.004655833,0
22.6,27.39,648,0.004646433,0
22.5,27.32333333,648.6666667,0.004606763,0
22.5,27.445,646,0.004627429,0
22.5,27.5,646,0.004636772,0
22.5,27.445,641.5,0.004627429,0
22.39,27.29,639,0.004570212,0
22.5,27.5,640,0.004636772,0
22.39,27.34,630.5,0.004578647,0
22.39,27.35666667,629.3333333,0.004581459,0
22.39,27.5,632,0.004605641,0
22.39,27.5,636.5,0.004605641,0
22.39,27.5,627.5,0.004605641,0
22.39,27.39,626,0.004587082,0
22.39,27.5,625.5,0.004605641,0
22.34,27.39,623.5,0.00457305,0
22.39,27.46333333,624.6666667,0.004599455,0
22.39,27.39,622,0.004587082,0
22.29,27.39,621,0.004559056,0
22.34,27.39,626.5,0.00457305,0
22.29,27.39,622,0.004559056,0
22.39,27.39,620,0.004587082,0
22.29,27.39,621.5,0.004559056,0
22.29,27.35666667,616.3333333,0.004553467,0
22.29,27.34,609,0.004550673,0
22.29,27.39,614,0.004559056,0
22.29,27.34,613.5,0.004550673,0
22.29,27.34,611,0.004550673,0
22.29,27.39,612,0.004559056,0
22.29,27.29,608,0.00454229,0
22.29,27.29,605.5,0.00454229,0
22.2675,27.315,608.5,0.004540214,0
22.2,27.29,608.5,0.004517288,0
22.245,27.29,602.5,0.004529774,0
22.2,27.29,598,0.004517288,0
22.2,27.29,595,0.004517288,0
22.2,27.29,591,0.004517288,0
22.245,27.245,591,0.00452225,0
22.2,27.2,595,0.004502283,0
22.2,27.29,594.3333333,0.004517288,0
22.2,27.29,593.5,0.004517288,0
22.2,27.29,592,0.004517288,0
22.15,27.245,586.5,0.004495971,0
22.2,27.2,586,0.004502283,0
22.15,27.245,586,0.004495971,0
22.2,27.245,584.5,0.004509785,0
22.1,27.245,584.5,0.004482195,0
22.1,27.2,585.5,0.004474738,0
22.13333333,27.2,584.6666667,0.004483903,0
22.2,27.2,577,0.004502283,0
22.1,27.2,580,0.004474738,0
22.125,27.2,582,0.00448161,0
22.2,27.2,580,0.004502283,0
22.1,27.15,578,0.004466454,0
22.1,27.2,576.5,0.004474738,0
22.1,27.2,580,0.004474738,0
22.1,27.2,572.5,0.004474738,0
22.1,27.2,567,0.004474738,0
22.1,27.2,568,0.004474738,0
22.1,27.2,574.5,0.004474738,0
22.1,27.2,564.3333333,0.004474738,0
22.1,27.2,563,0.004474738,0
22.1,27.15,564.5,0.004466454,0
22.06666667,27.16666667,566.3333333,0.004460078,0
22.1,27.1,562,0.004458169,0
22,27.1,565.5,0.004430876,0
22,27.1,570,0.004430876,0
22.05,27.15,562,0.004452763,0
22,27.1,560,0.004430876,0
22,27.1,558,0.004430876,0
22,27.1,556,0.004430876,0
22,27.1,557,0.004430876,0
21.9175,27.1,556.5,0.004408469,0
21.945,27.1,557.5,0.004415927,0
21.92666667,27.1,555,0.004410954,0
21.89,27.1,555,0.004401023,0
21.89,27.1,553,0.004401023,0
21.89,27.1,549.5,0.004401023,0
21.89,27.1,548.5,0.004401023,0
21.89,27.1,551.5,0.004401023,0
21.89,27.1,548.5,0.004401023,0
21.89,27.1,548,0.004401023,0
21.89,27.1,547.5,0.004401023,0
21.89,27.1,553,0.004401023,0
21.84,27.1,547.5,0.004387512,0
21.85666667,27.1,548.6666667,0.004392012,0
21.79,27.1,540,0.004374038,0
21.79,27.1,538,0.004374038,0
21.79,27.1,542,0.004374038,0
21.79,27.1,542,0.004374038,0
21.79,27.1,538,0.004374038,0
21.79,27.1,537.6666667,0.004374038,0
21.79,27.1,537.5,0.004374038,0
21.79,27.1,536,0.004374038,0
21.745,27.1,534.5,0.004361943,0
21.7,27.1,532.5,0.004349877,0
21.76,27.1,530,0.004365971,0
21.745,27.05,529.5,0.004353839,0
21.79,27.05,531,0.004365912,0
21.73,27,533.3333333,0.004341725,0
21.745,27,531,0.004345735,0
21.745,27,529,0.004345735,0
21.745,27,528.5,0.004345735,0
21.7,27,525,0.004333714,0
21.7,27,528.5,0.004333714,0
21.7,27,530.5,0.004333714,0
21.7,26.89,528,0.004315936,0
21.7,26.89,526,0.004315936,0
21.7,26.89,530,0.004315936,0
21.7,26.89,533.3333333,0.004315936,0
21.7,26.89,529,0.004315936,0
21.7,26.89,528,0.004315936,0
21.7,26.89,526,0.004315936,0
21.7,26.89,526,0.004315936,0
21.7,26.79,521,0.004299774,0
21.7,26.79,518,0.004299774,0
21.7,26.79,515.5,0.004299774,0
21.7,26.79,520,0.004299774,0
21.7,26.7675,523.5,0.004296138,0
21.7,26.79,525.5,0.004299774,0
21.7,26.79,525.5,0.004299774,0
21.7,26.79,514,0.004299774,0
21.7,26.7,518,0.00428523,0
21.7,26.7,518,0.00428523,0
21.7,26.7,520,0.00428523,0
21.6,26.7,521,0.004258922,0
21.6,26.6,518,0.004242862,0
21.6,26.65,517,0.004250892,0
21.6,26.6,511.5,0.004242862,0
21.65,26.65,514,0.004264003,0
21.6,26.55,515.5,0.004234832,0
21.6,26.5,517,0.004226803,0
21.6,26.5,515,0.004226803,0
21.6,26.5,512,0.004226803,0
21.6,26.5,515,0.004226803,0
21.65,26.55,511,0.004247894,0
21.6,26.5,514,0.004226803,0
21.6,26.445,508,0.004217971,0
21.6,26.4725,509.75,0.004222387,0
21.6,26.445,508.75,0.004217971,0
21.6,26.445,508.5,0.004217971,0
21.6,26.39,507,0.004209139,0
21.6,26.39,507,0.004209139,0
21.6,26.39,503.5,0.004209139,0
21.6,26.39,504,0.004209139,0
21.6,26.39,504,0.004209139,0
21.575,26.315,500.5,0.004190637,0
21.6,26.29,500,0.004193082,0
21.6,26.29,503.5,0.004193082,0
21.55,26.245,503,0.004172982,0
21.55,26.245,502.5,0.004172982,0
21.5,26.2,502,0.004152962,0
21.56666667,26.2,502,0.004170059,0
21.5,26.2,502.5,0.004152962,0
21.5,26.2,497,0.004152962,0
21.5,26.15,501.5,0.004144984,0
21.5,26.15,504,0.004144984,0
21.5,26.1,501,0.004137006,0
21.5,26.1,493.75,0.004137006,0
21.5,26.1,500,0.004137006,0
21.5,26.1,504.5,0.004137006,0
21.5,26.05,504,0.004129028,0
21.5,26.1,501,0.004137006,0
21.5,26,499,0.00412105,0
21.5,26,502,0.00412105,0
21.5,26,503.5,0.00412105,0
21.5,26,500.6666667,0.00412105,0
21.5,26,493,0.00412105,0
21.5,26,492.5,0.00412105,0
21.5,26,493,0.00412105,0
21.5,25.89,495.5,0.0041035,0
21.5,26,492.6666667,0.00412105,0
21.5,26,490,0.00412105,0
21.5,25.92666667,493,0.00410935,0
21.5,25.89,494.6666667,0.0041035,0
21.5,25.89,496,0.0041035,0
21.5,25.89,491,0.0041035,0
21.5,25.84,490.5,0.004095523,0
21.5,25.84,490,0.004095523,0
21.5,25.89,491,0.0041035,0
21.5,25.89,491.6666667,0.0041035,0
21.5,25.89,493.5,0.0041035,0
21.4725,25.865,493.75,0.004092568,0
21.5,25.84,490,0.004095523,0
21.5,25.79,488,0.004087546,0
21.5,25.79,490,0.004087546,0
21.5,25.79,487,0.004087546,0
21.445,25.745,492.5,0.004066556,0
21.445,25.745,493.5,0.004066556,0
21.46333333,25.76,493.3333333,0.004073542,0
21.445,25.745,488,0.004066556,0
21.5,25.79,487.5,0.004087546,0
21.42666667,25.73,485.3333333,0.004059579,0
21.39,25.7,484,0.004045656,0
21.39,25.7,489,0.004045656,0
21.445,25.745,488,0.004066556,0
21.5,25.79,493,0.004087546,0
21.39,25.7,491,0.004045656,0
21.445,25.745,488,0.004066556,0
21.445,25.745,487.25,0.004066556,0
21.39,25.7,489,0.004045656,0
21.5,25.79,489,0.004087546,0
21.39,25.7,486,0.004045656,0
21.42666667,25.73,484.6666667,0.004059579,0
21.39,25.7,485,0.004045656,0
21.39,25.7,487,0.004045656,0
21.39,25.7,492,0.004045656,0
21.39,25.7,490.6666667,0.004045656,0
21.39,25.7,488,0.004045656,0
21.39,25.7,485.5,0.004045656,0
21.39,25.7,486,0.004045656,0
21.39,25.7,485.5,0.004045656,0
21.39,25.7,486,0.004045656,0
21.39,25.7,480,0.004045656,0
21.39,25.7,481,0.004045656,0
21.39,25.7,481.6666667,0.004045656,0
21.39,25.7,485.5,0.004045656,0
21.39,25.7,485,0.004045656,0
21.39,25.7,473,0.004045656,0
21.39,25.7,475,0.004045656,0
21.39,25.7,486,0.004045656,0
21.39,25.7,481.5,0.004045656,0
21.39,25.7,483,0.004045656,0
21.39,25.7,479,0.004045656,0
21.39,25.7,479,0.004045656,0
21.39,25.7,479,0.004045656,0
21.34,25.7,479,0.004033195,0
21.39,25.7,479,0.004045656,0
21.39,25.7,477,0.004045656,0
21.39,25.7,477.5,0.004045656,0
21.29,25.7,477.5,0.004020769,0
21.34,25.7,480,0.004033195,0
21.29,25.7,480,0.004020769,0
21.34,25.7,482,0.004033195,0
21.32333333,25.7,480.3333333,0.004029049,0
21.34,25.7,477.5,0.004033195,0
21.29,25.7,476,0.004020769,0
21.39,25.7,479,0.004045656,0
21.39,25.7,471,0.004045656,0
21.29,25.7,474,0.004020769,0
21.29,25.7,477.5,0.004020769,0
21.34,25.7,476,0.004033195,0
21.29,25.7,474.25,0.004020769,0
21.39,25.7,475,0.004045656,0
21.29,25.7,476.5,0.004020769,0
21.34,25.7,474.5,0.004033195,0
21.29,25.7,478,0.004020769,0
21.29,25.7,475.3333333,0.004020769,0
21.29,25.7,477,0.004020769,0
21.29,25.7,475.5,0.004020769,0
21.29,25.7,477.5,0.004020769,0
21.29,25.7,477.5,0.004020769,0
21.29,25.7,478,0.004020769,0
21.29,25.7,473.5,0.004020769,0
21.29,25.7,472.5,0.004020769,0
21.29,25.7,472,0.004020769,0
21.29,25.7,469.5,0.004020769,0
21.29,25.7,466.6666667,0.004020769,0
21.29,25.7,467,0.004020769,0
21.29,25.7,469.5,0.004020769,0
21.2,25.6,469,0.003982828,0
21.29,25.7,471,0.004020769,0
21.29,25.7,469,0.004020769,0
21.26,25.66666667,467.3333333,0.00400809,0
21.245,25.65,471.5,0.004001763,0
21.23,25.63333333,471.6666667,0.003995443,0
21.29,25.7,475,0.004020769,0
21.2,25.6,471,0.003982828,0
21.2,25.6,471,0.003982828,0
21.245,25.65,471,0.004001763,0
21.245,25.65,474.5,0.004001763,0
21.2,25.6,475.5,0.003982828,0
21.2,25.6,474,0.003982828,0
21.2,25.6,469,0.003982828,0
21.2,25.6,474,0.003982828,0
21.2,25.6,474,0.003982828,0
21.2,25.6,468.5,0.003982828,0
21.2,25.6,469.5,0.003982828,0
21.2,25.6,472.5,0.003982828,0
21.2,25.6,467.5,0.003982828,0
21.2,25.6,469,0.003982828,0
21.2,25.55,466.5,0.003974999,0
21.2,25.5,469.5,0.003967171,0
21.2,25.5,469,0.003967171,0
21.2,25.5,467,0.003967171,0
21.2,25.5,467.3333333,0.003967171,0
21.2,25.5,467,0.003967171,0
21.2,25.5,464.5,0.003967171,0
21.2,25.445,466,0.00395856,0
21.2,25.5,473,0.003967171,0
21.2,25.39,475,0.003949949,0
21.2,25.39,471,0.003949949,0
21.2,25.39,470,0.003949949,0
21.2,25.39,466.25,0.003949949,0
21.2,25.39,467,0.003949949,0
21.2,25.39,473,0.003949949,0
21.2,25.39,468,0.003949949,0
21.2,25.39,463,0.003949949,0
21.2,25.39,466,0.003949949,0
21.2,25.39,467,0.003949949,0
21.2,25.29,468,0.003934293,0
21.2,25.39,468,0.003949949,0
21.2,25.29,468,0.003934293,0
21.2,25.34,465.5,0.003942121,0
21.2,25.39,464,0.003949949,0
21.2,25.34,464.5,0.003942121,0
21.2,25.29,465.6666667,0.003934293,0
21.2,25.365,465.75,0.003946035,0
21.2,25.39,464,0.003949949,0
21.2,25.39,467,0.003949949,0
21.15,25.39,466.5,0.003937767,0
21.2,25.39,465,0.003949949,0
21.2,25.39,462,0.003949949,0
21.2,25.39,459.6666667,0.003949949,0
21.2,25.29,458,0.003934293,0
21.2,25.34,462.5,0.003942121,0
21.2,25.29,467,0.003934293,0
21.2,25.29,466.5,0.003934293,0
21.2,25.29,463,0.003934293,0
21.2,25.29,465,0.003934293,0
21.2,25.29,463.25,0.003934293,0
21.2,25.29,460,0.003934293,0
21.2,25.29,457,0.003934293,0
21.2,25.29,456,0.003934293,0
21.245,25.245,454,0.003938177,0
21.23,25.23,454,0.003932179,0
21.29,25.29,458,0.003956216,0
21.2,25.2,456,0.003920204,0
21.245,25.245,456.5,0.003938177,0
21.245,25.245,458.5,0.003938177,0
21.26,25.26,459.6666667,0.003944183,0
21.245,25.245,464,0.003938177,0
21.245,25.2,465,0.003931113,0
21.29,25.2,461,0.003942048,0
21.245,25.2,458.5,0.003931113,0
21.29,25.2,459,0.003942048,0
21.29,25.2,451,0.003942048,0
21.29,25.2,456,0.003942048,0
21.29,25.2,463,0.003942048,0
21.29,25.2,461.6666667,0.003942048,0
21.29,25.2,458,0.003942048,0
21.29,25.2,450,0.003942048,0
21.29,25.2,457,0.003942048,0
21.29,25.2,456,0.003942048,0
21.29,25.2,456,0.003942048,0
21.29,25.2,461,0.003942048,0
21.29,25.2,463,0.003942048,0
21.29,25.2,460,0.003942048,0
21.29,25.2,456,0.003942048,0
21.29,25.2,454.5,0.003942048,0
21.29,25.2,448.5,0.003942048,0
21.29,25.2,453.5,0.003942048,0
21.29,25.2,454,0.003942048,0
21.29,25.2,454,0.003942048,0
21.29,25.245,450.5,0.003949132,0
21.29,25.245,453,0.003949132,0
21.2,25.2,457,0.003920204,0
21.2,25.2,452.5,0.003920204,0
21.2,25.2,449,0.003920204,0
21.2,25.2,458.6666667,0.003920204,0
21.2,25.2,454.5,0.003920204,0
21.2,25.245,455.5,0.003927249,0
21.2,25.245,453.5,0.003927249,0
21.2,25.29,452,0.003934293,0
21.2,25.29,451.5,0.003934293,0
21.2,25.29,451,0.003934293,0
